playerid_fg,name,name_clean
adamewi01,Willy Adames,willy adames
florewi01,Wilmer Flores,wilmer flores
langfwy01,Wyatt Langford,wyatt langford
bogaexa01,Xander Bogaerts,xander bogaerts
edwarxa01,Xavier Edwards,xavier edwards
diazya02,Yainer Diaz,yainer diaz
diazya01,Yandy Díaz,yandy díaz
moncayo01,Yoán Moncada,yoán moncada
alvaryo01,Yordan Alvarez,yordan alvarez
yamamyo01,Yoshinobu Yamamoto,yoshinobu yamamoto
darviyu01,Yu Darvish,yu darvish
gourryu01,Yuli Gurriel,yuli gurriel
kikucyu01,Yusei Kikuchi,yusei kikuchi
galleza01,Zac Gallen,zac gallen
eflinza01,Zach Eflin,zach eflin
mckinza01,Zach McKinstry,zach mckinstry
netoza01,Zach Neto,zach neto
gelofza01,Zack Gelof,zack gelof
greinza01,Zack Greinke,zack greinke
litteza01,Zack Littell,zack littell
wheelza01,Zack Wheeler,zack wheeler
