player_name,sg_total,sg_ott,sg_app,sg_arg,sg_putt,driving_dist,driving_acc,gir_pct,scrambling_pct,putts_per_round,scoring_avg,season,sg_ballstriking,sg_shortgame
Zack Sucher,-0.381,0.127,-0.403,0.148,-0.253,301.6,53.28,68.36,54.15,2.78,48.33,2020,-0.276,-0.10500000000000001
Aaron Baddeley,-0.42,-0.627,-0.328,0.22,0.314,289.3,57.69,63.99,63.43,2.22,52.63,2021,-0.9550000000000001,0.534
Aaron Wise,0.412,0.249,0.357,0.239,-0.432,300.6,60.04,70.35,58.78,4.11,49.06,2021,0.606,-0.193
Abraham Ancer,1.243,0.35,0.499,-0.019,0.412,290.4,71.05,69.27,64.58,2.56,50.77,2021,0.849,0.39299999999999996
Adam Hadwin,0.322,-0.042,-0.32,0.212,0.471,293.4,62.97,62.44,60.0,3.77,54.81,2021,-0.362,0.6829999999999999
Adam Long,-0.457,0.109,-0.541,-0.169,0.144,288.6,67.41,63.03,57.25,2.49,48.28,2021,-0.43200000000000005,-0.025000000000000022
Adam Schenk,0.188,0.159,0.058,-0.166,0.137,299.5,60.9,67.37,61.6,2.15,51.88,2021,0.217,-0.028999999999999998
Adam Scott,0.739,-0.101,0.356,0.008,0.475,306.0,55.26,65.35,52.56,3.22,42.48,2021,0.255,0.483
Alex Noren,0.634,-0.045,-0.11,0.251,0.538,297.9,58.26,63.21,60.96,1.62,56.8,2021,-0.155,0.789
Andrew Landry,-0.715,-0.131,-0.191,-0.13,-0.263,290.4,66.74,63.89,56.41,2.78,38.55,2021,-0.322,-0.393
Andrew Putnam,0.027,-0.519,0.109,0.102,0.335,283.8,61.59,66.1,62.98,2.22,56.82,2021,-0.41000000000000003,0.437
Anirban Lahiri,0.077,0.28,-0.254,0.089,-0.039,298.4,57.56,64.62,60.51,2.27,51.52,2021,0.026000000000000023,0.049999999999999996
Austin Cook,-0.421,-0.046,-0.568,-0.116,0.309,289.2,65.47,64.51,59.35,1.65,44.64,2021,-0.614,0.193
Beau Hossler,-0.145,0.059,-0.42,0.01,0.206,305.1,56.28,65.34,58.65,2.58,50.0,2021,-0.361,0.216
Ben Martin,-0.114,0.138,0.011,-0.136,-0.126,292.4,66.86,66.67,60.0,1.39,45.45,2021,0.14900000000000002,-0.262
Ben Taylor,-0.054,-0.416,-0.145,0.057,0.45,295.6,53.0,66.22,60.86,2.94,61.9,2021,-0.5609999999999999,0.507
Bill Haas,-0.31,-0.309,-0.411,0.24,0.17,295.8,56.98,65.78,62.36,3.4,54.55,2021,-0.72,0.41000000000000003
Billy Horschel,0.301,0.289,-0.195,-0.078,0.285,294.7,65.7,66.47,59.73,2.9,51.88,2021,0.09399999999999997,0.20699999999999996
Bo Hoag,0.377,0.141,0.246,-0.011,0.0,290.7,63.92,69.67,61.26,3.7,50.0,2021,0.387,-0.011
Bo Van Pelt,-0.683,-0.177,-0.103,-0.178,-0.225,293.2,60.98,65.05,55.41,3.63,39.6,2021,-0.27999999999999997,-0.403
Branden Grace,0.383,-0.162,0.161,0.234,0.15,293.8,55.5,64.47,59.07,2.22,46.77,2021,-0.0010000000000000009,0.384
Brandon Hagy,-0.232,0.33,-0.533,0.13,-0.159,311.6,50.78,62.99,56.59,3.42,57.81,2021,-0.203,-0.028999999999999998
Brandt Snedeker,0.3,-0.255,0.0,0.214,0.341,286.6,64.04,64.48,57.36,1.71,45.45,2021,-0.255,0.555
Brendan Steele,0.115,0.126,0.103,0.017,-0.131,299.3,61.98,65.42,57.93,4.04,57.01,2021,0.22899999999999998,-0.114
Brendon Todd,0.415,-0.234,-0.176,0.204,0.62,275.2,75.25,64.86,60.66,2.56,55.56,2021,-0.41000000000000003,0.824
Brian Gay,-1.218,-0.656,-0.774,0.01,0.203,286.8,59.67,60.71,56.77,2.99,51.92,2021,-1.4300000000000002,0.21300000000000002
Brian Harman,0.816,0.133,-0.082,0.334,0.432,291.7,66.88,64.33,63.71,2.06,59.06,2021,0.051000000000000004,0.766
Brian Stuard,0.315,-0.147,0.043,0.188,0.23,277.8,73.31,66.72,61.16,3.2,46.31,2021,-0.104,0.41800000000000004
Brice Garnett,0.075,0.161,-0.324,-0.159,0.396,288.1,70.72,68.12,62.5,2.11,57.03,2021,-0.163,0.23700000000000002
Bronson Burgoon,-0.309,0.015,-0.022,0.095,-0.396,298.8,59.98,68.36,58.29,2.55,47.83,2021,-0.006999999999999999,-0.30100000000000005
Brooks Koepka,1.357,0.631,0.482,0.058,0.187,310.7,56.63,68.01,57.89,4.44,65.38,2021,1.113,0.245
Bryson DeChambeau,1.823,1.162,0.291,-0.085,0.456,323.7,54.18,67.15,59.2,1.59,49.07,2021,1.4529999999999998,0.371
Bubba Watson,0.541,0.613,0.103,0.035,-0.21,304.6,59.92,67.95,56.53,3.61,39.78,2021,0.716,-0.175
Byeong Hun An,-0.707,0.008,-0.152,0.303,-0.867,302.6,51.97,63.29,59.46,2.58,58.06,2021,-0.144,-0.5640000000000001
C.T. Pan,0.274,-0.002,0.245,0.139,-0.108,296.3,61.11,65.83,60.37,2.78,52.5,2021,0.243,0.031000000000000014
Cam Davis,0.472,0.312,0.159,-0.172,0.173,309.0,56.11,65.31,56.9,3.42,49.01,2021,0.471,0.0010000000000000009
Cameron Champ,-0.607,0.593,-0.154,-0.439,-0.608,317.1,58.86,66.0,53.38,4.0,29.06,2021,0.43899999999999995,-1.047
Cameron Percy,0.108,-0.115,0.698,-0.123,-0.352,286.7,63.66,72.58,57.11,2.89,50.0,2021,0.583,-0.475
Cameron Smith,1.106,-0.02,0.291,0.261,0.573,297.9,59.23,65.72,62.25,1.26,63.19,2021,0.27099999999999996,0.834
Cameron Tringale,1.079,-0.006,0.363,0.242,0.48,297.5,61.17,67.63,64.37,1.07,57.55,2021,0.357,0.722
Camilo Villegas,0.124,-0.145,0.236,0.31,-0.277,292.5,56.44,65.58,60.8,4.22,59.22,2021,0.091,0.032999999999999974
Carlos Ortiz,0.399,0.246,0.039,0.132,-0.019,303.0,60.36,67.03,58.06,2.47,43.41,2021,0.285,0.113
Charl Schwartzel,0.386,-0.027,0.183,0.205,0.025,303.0,57.76,66.86,60.04,4.49,50.71,2021,0.156,0.22999999999999998
Charles Howell III,0.393,0.505,-0.401,0.174,0.114,297.6,60.66,67.22,65.86,2.65,48.76,2021,0.10399999999999998,0.288
Charley Hoffman,1.194,0.341,0.646,-0.123,0.33,306.5,57.11,67.85,61.08,3.37,47.26,2021,0.9870000000000001,0.20700000000000002
Chase Seiffert,-0.042,0.021,0.147,-0.079,-0.131,290.9,65.23,66.74,59.96,2.35,37.96,2021,0.16799999999999998,-0.21000000000000002
Chesson Hadley,-0.005,-0.289,-0.036,-0.232,0.552,297.5,56.36,64.58,58.17,3.11,51.72,2021,-0.32499999999999996,0.32000000000000006
Chez Reavie,0.187,0.155,0.505,-0.028,-0.445,281.9,74.11,67.13,58.35,1.98,45.54,2021,0.66,-0.47300000000000003
Chris Baker,-0.268,0.322,-0.182,-0.059,-0.35,291.9,66.14,65.74,60.66,3.89,32.86,2021,0.14,-0.409
Chris Kirk,0.748,0.119,0.314,0.269,0.046,291.9,63.44,68.35,63.88,1.33,56.2,2021,0.433,0.315
Collin Morikawa,1.071,0.281,1.17,0.077,-0.457,295.2,69.6,70.8,57.56,2.38,53.93,2021,1.451,-0.38
Corey Conners,1.142,0.625,0.698,-0.173,-0.008,295.4,70.15,69.93,58.44,3.17,46.67,2021,1.323,-0.181
D.J. Trahan,-0.727,-0.171,0.152,-0.143,-0.564,291.9,57.05,65.57,57.7,3.28,51.89,2021,-0.019000000000000017,-0.707
Daniel Berger,1.296,0.264,0.834,-0.017,0.214,296.7,65.48,70.5,63.0,3.03,54.92,2021,1.0979999999999999,0.197
Danny Lee,-0.514,0.154,0.122,-0.252,-0.538,298.5,59.31,64.78,53.74,3.79,56.57,2021,0.276,-0.79
Danny Willett,0.16,-0.056,-0.207,0.518,-0.096,293.9,60.0,60.64,56.16,3.33,51.9,2021,-0.263,0.42200000000000004
David Hearn,-0.329,-0.507,-0.031,-0.023,0.232,274.7,69.96,66.32,59.79,4.35,44.3,2021,-0.538,0.20900000000000002
Denny McCarthy,0.048,-0.207,-0.353,0.172,0.435,295.4,62.31,64.01,60.43,2.41,57.82,2021,-0.5599999999999999,0.607
Doc Redman,-0.023,-0.035,0.215,-0.202,-0.002,294.0,64.87,65.86,62.1,2.67,56.44,2021,0.18,-0.20400000000000001
Doug Ghim,0.64,0.252,0.516,0.141,-0.269,292.9,68.55,69.64,62.77,5.56,50.91,2021,0.768,-0.12800000000000003
Dustin Johnson,1.253,0.361,0.315,0.147,0.429,312.9,57.87,66.67,59.95,3.33,55.56,2021,0.6759999999999999,0.576
Dylan Frittelli,-0.461,0.029,-0.333,0.312,-0.47,309.3,51.9,64.04,60.3,4.06,50.93,2021,-0.304,-0.15799999999999997
Emiliano Grillo,0.562,0.368,0.669,-0.371,-0.104,298.2,64.78,71.47,58.82,3.26,46.43,2021,1.037,-0.475
Erik van Rooyen,0.512,0.126,0.141,0.052,0.193,305.3,61.12,64.38,58.33,2.55,54.0,2021,0.267,0.245
Fabián Gómez,-0.838,-0.706,-0.351,0.484,-0.266,283.3,61.57,62.24,61.85,2.53,50.0,2021,-1.057,0.21799999999999997
Gary Woodland,0.096,-0.19,0.291,0.072,-0.076,309.5,55.01,62.94,53.32,2.17,49.48,2021,0.10099999999999998,-0.0040000000000000036
Grayson Murray,-2.108,-0.063,-0.26,-0.522,-1.261,305.5,50.88,62.59,46.67,3.61,40.51,2021,-0.323,-1.783
Hank Lebioda,0.693,-0.134,0.332,0.064,0.431,295.0,61.16,69.14,64.5,3.38,53.26,2021,0.198,0.495
Harold Varner III,0.862,0.104,0.47,0.218,0.069,300.7,59.87,67.78,58.43,2.88,52.42,2021,0.574,0.28700000000000003
Harris English,0.984,0.076,0.125,0.24,0.544,299.4,64.29,65.76,64.02,3.56,52.94,2021,0.201,0.784
Harry Higgs,0.169,-0.064,-0.184,0.174,0.243,298.9,57.26,63.68,56.21,1.44,50.74,2021,-0.248,0.417
Henrik Norlander,0.013,0.152,0.468,-0.165,-0.442,294.1,67.09,69.18,60.52,3.37,44.54,2021,0.62,-0.607
Hideki Matsuyama,0.641,0.24,0.614,0.22,-0.433,299.9,62.25,67.03,61.05,3.21,48.51,2021,0.854,-0.213
Hudson Swafford,-0.684,0.052,-0.233,-0.505,0.001,303.1,63.94,67.89,50.84,3.45,50.91,2021,-0.18100000000000002,-0.504
Hunter Mahan,-1.788,0.105,-1.601,-0.783,0.491,296.2,56.05,57.5,53.9,3.78,53.1,2021,-1.496,-0.29200000000000004
Ian Poulter,0.819,-0.079,-0.162,0.364,0.695,285.2,66.33,60.88,64.3,3.06,61.6,2021,-0.241,1.059
J.B. Holmes,-0.874,-0.515,-0.35,0.155,-0.164,302.9,46.86,60.3,53.35,3.7,46.75,2021,-0.865,-0.009000000000000008
J.J. Spaun,-0.394,0.178,-0.109,-0.065,-0.398,285.7,68.99,67.36,57.68,3.24,45.26,2021,0.06899999999999999,-0.463
J.T. Poston,0.022,-0.131,-0.488,-0.065,0.706,299.9,57.02,62.24,56.74,2.18,52.8,2021,-0.619,0.641
James Hahn,0.193,0.079,-0.004,-0.048,0.165,297.1,66.94,68.81,59.29,1.93,51.11,2021,0.075,0.117
Jason Day,0.778,0.442,-0.043,0.312,0.067,300.3,61.31,66.67,61.54,1.85,46.32,2021,0.399,0.379
Jason Dufner,0.003,0.165,0.197,0.032,-0.392,289.6,64.52,65.96,61.1,3.17,54.62,2021,0.362,-0.36
Jason Kokrak,1.053,0.352,0.281,-0.208,0.628,307.9,60.18,69.19,55.74,2.89,52.17,2021,0.633,0.42000000000000004
Jhonattan Vegas,0.633,0.647,0.257,-0.087,-0.184,312.1,56.94,68.81,56.48,2.89,50.4,2021,0.904,-0.271
Jim Herman,-0.454,0.336,-0.254,-0.238,-0.298,292.5,66.78,66.67,52.27,3.54,45.45,2021,0.08200000000000002,-0.536
Jimmy Walker,-0.724,-0.661,-0.344,-0.045,0.325,297.4,47.18,57.96,53.39,1.78,51.85,2021,-1.005,0.28
Joaquin Niemann,1.124,0.556,0.326,-0.07,0.312,310.6,59.2,68.57,60.14,1.28,50.96,2021,0.8820000000000001,0.242
Joel Dahmen,-0.028,0.214,0.148,-0.047,-0.344,292.3,67.57,65.24,58.67,2.67,47.75,2021,0.362,-0.39099999999999996
John Huh,-0.228,0.147,0.034,0.23,-0.639,290.5,65.63,65.52,60.83,4.39,54.55,2021,0.181,-0.40900000000000003
Jon Rahm,2.098,0.834,0.717,0.216,0.331,309.0,63.73,71.93,62.98,1.67,55.56,2021,1.551,0.547
Jordan Spieth,1.069,-0.091,0.365,0.407,0.389,299.5,53.92,64.58,61.32,2.55,55.93,2021,0.274,0.796
Joseph Bramlett,-0.123,0.224,0.21,0.167,-0.724,309.6,56.89,68.87,57.44,4.22,36.79,2021,0.434,-0.5569999999999999
Josh Teater,-0.277,-0.006,-0.109,0.031,-0.193,290.0,68.01,66.9,59.09,1.48,47.17,2021,-0.115,-0.162
Justin Rose,0.097,-0.142,-0.045,-0.091,0.375,297.5,60.53,65.95,52.87,2.78,48.05,2021,-0.187,0.28400000000000003
Justin Thomas,1.444,0.235,0.887,0.296,0.026,303.9,55.72,67.79,61.81,2.53,56.06,2021,1.1219999999999999,0.322
K.H. Lee,0.074,0.172,-0.066,0.203,-0.236,298.4,63.06,64.26,60.26,1.91,54.02,2021,0.10599999999999998,-0.032999999999999974
K.J. Choi,-1.188,-0.977,0.178,0.117,-0.507,269.2,66.94,62.82,59.48,3.33,61.9,2021,-0.7989999999999999,-0.39
Keegan Bradley,0.8,0.327,0.856,0.165,-0.548,300.2,65.03,69.96,59.14,2.56,50.0,2021,1.183,-0.383
Keith Mitchell,-0.14,0.57,-0.31,-0.343,-0.057,307.2,56.5,64.62,57.01,2.67,44.9,2021,0.25999999999999995,-0.4
Kevin Kisner,-0.003,-0.215,-0.266,0.085,0.392,289.1,67.61,64.96,58.54,3.47,48.7,2021,-0.481,0.47700000000000004
Kevin Na,0.527,-0.253,-0.027,0.702,0.105,288.5,66.56,64.11,65.12,3.11,59.6,2021,-0.28,0.8069999999999999
Kevin Streelman,0.673,0.196,0.418,0.08,-0.008,295.6,66.32,69.21,57.14,2.18,43.94,2021,0.614,0.07200000000000001
Kevin Tway,-0.112,-0.139,-0.252,0.076,0.203,307.0,53.24,67.11,57.77,2.53,49.33,2021,-0.391,0.279
Kramer Hickok,-0.091,0.117,-0.187,0.233,-0.255,290.8,68.58,68.04,57.68,3.14,53.78,2021,-0.06999999999999999,-0.021999999999999992
Kris Ventura,-0.938,-0.07,-0.751,-0.552,0.435,304.7,57.6,61.98,52.82,3.7,42.34,2021,-0.821,-0.11700000000000005
Kyle Stanley,0.049,0.244,0.55,-0.034,-0.712,292.1,66.72,69.88,59.63,3.5,44.26,2021,0.794,-0.746
Lanto Griffin,0.592,0.019,0.394,-0.206,0.384,302.9,57.02,65.12,58.58,2.47,46.9,2021,0.41300000000000003,0.17800000000000002
Lee Westwood,0.271,0.055,0.167,-0.02,0.069,294.1,62.93,64.78,54.45,2.78,45.92,2021,0.222,0.049
Louis Oosthuizen,1.599,0.023,0.459,0.353,0.764,297.8,63.47,67.64,63.81,2.34,59.09,2021,0.48200000000000004,1.117
Lucas Glover,0.36,0.185,0.172,0.144,-0.141,294.9,64.05,66.72,58.61,4.21,51.8,2021,0.357,0.0030000000000000027
Luke Donald,-0.635,-0.805,0.362,-0.016,-0.176,286.1,57.58,67.06,58.13,1.52,46.48,2021,-0.44300000000000006,-0.192
Luke List,0.266,0.557,0.251,0.083,-0.626,312.7,55.48,68.41,58.7,5.0,47.77,2021,0.808,-0.543
Mackenzie Hughes,-0.088,-0.34,-0.34,0.108,0.483,293.5,58.05,64.44,58.16,1.23,43.84,2021,-0.68,0.591
Marc Leishman,0.052,-0.165,0.118,-0.092,0.19,293.8,58.46,65.72,59.28,2.53,60.0,2021,-0.047000000000000014,0.098
Mark Anderson,-0.137,-0.035,-0.149,0.226,-0.179,286.7,63.52,68.15,60.12,2.34,45.76,2021,-0.184,0.047000000000000014
Mark Hubbard,0.169,-0.251,-0.039,0.177,0.282,280.2,67.84,64.99,59.67,1.48,55.41,2021,-0.29,0.45899999999999996
Martin Laird,-0.025,0.117,0.208,-0.008,-0.343,295.9,68.84,69.44,56.59,4.91,46.59,2021,0.325,-0.35100000000000003
Martin Trainer,-1.781,-0.597,-1.458,-0.002,0.277,303.6,49.64,55.46,56.24,2.78,50.0,2021,-2.0549999999999997,0.275
Matt Fitzpatrick,0.988,0.539,0.026,0.055,0.367,293.5,68.37,64.39,57.92,3.22,50.0,2021,0.5650000000000001,0.422
Matt Jones,0.28,0.124,-0.422,0.305,0.273,304.0,55.62,65.74,61.05,2.11,52.83,2021,-0.298,0.5780000000000001
Matt Kuchar,0.009,-0.371,0.046,0.229,0.104,287.8,66.09,65.49,57.56,2.27,60.55,2021,-0.325,0.333
Matt Wallace,0.875,0.106,0.443,0.214,0.112,298.4,59.84,63.94,53.49,3.13,47.42,2021,0.549,0.326
Matthew NeSmith,0.235,0.012,0.683,-0.083,-0.377,295.9,65.09,71.09,53.71,4.76,47.9,2021,0.6950000000000001,-0.46
Matthew Wolff,-0.168,-0.333,0.342,-0.318,0.141,315.9,51.04,64.95,52.16,3.4,46.58,2021,0.009000000000000008,-0.17700000000000002
Maverick McNealy,0.233,0.271,-0.223,0.067,0.118,298.7,60.48,66.52,61.7,3.47,54.21,2021,0.048000000000000015,0.185
Max Homa,0.327,0.122,0.372,-0.124,-0.043,300.8,58.44,63.89,59.93,3.85,52.38,2021,0.494,-0.16699999999999998
Michael Gellerman,-0.655,0.012,0.399,-0.295,-0.771,292.1,65.96,70.8,53.85,2.94,37.93,2021,0.41100000000000003,-1.066
Michael Gligic,-0.338,-0.104,-0.317,-0.301,0.384,299.0,58.78,66.53,59.75,2.88,49.53,2021,-0.421,0.08300000000000002
Michael Kim,-1.369,-1.247,0.022,0.016,-0.161,293.2,49.06,61.11,56.73,5.56,49.46,2021,-1.225,-0.14500000000000002
Michael Thompson,-0.063,-0.104,-0.151,0.129,0.062,288.1,68.41,65.54,59.26,2.78,50.44,2021,-0.255,0.191
Nate Lashley,-0.423,-0.348,-0.099,0.241,-0.217,292.4,61.79,65.5,61.02,3.01,54.31,2021,-0.44699999999999995,0.023999999999999994
Nelson Ledesma,-1.167,-0.491,-0.224,-0.066,-0.386,288.2,59.25,65.39,56.19,4.58,36.23,2021,-0.715,-0.452
Nick Taylor,-0.033,0.015,-0.217,0.004,0.165,294.0,63.91,65.62,60.68,3.5,53.85,2021,-0.202,0.169
Nick Watney,-1.442,-0.689,-0.205,-0.09,-0.458,299.3,51.59,65.33,56.38,3.86,32.43,2021,-0.8939999999999999,-0.548
Pat Perez,0.592,-0.12,0.185,0.155,0.372,292.2,62.03,66.26,63.12,3.33,55.64,2021,0.065,0.527
Patrick Cantlay,1.82,0.569,0.486,0.363,0.402,302.8,60.71,70.16,67.3,4.04,59.41,2021,1.055,0.765
Patrick Reed,1.313,-0.003,0.279,0.368,0.669,291.4,63.21,62.11,62.97,0.76,61.7,2021,0.276,1.037
Patrick Rodgers,0.038,0.305,-0.4,0.072,0.062,306.7,54.07,67.1,55.96,2.86,42.75,2021,-0.09500000000000003,0.134
Patton Kizzire,0.61,-0.083,0.169,0.092,0.432,300.9,58.03,67.76,58.95,2.11,50.68,2021,0.08600000000000001,0.524
Paul Casey,1.22,0.258,0.895,0.14,-0.073,303.9,62.2,68.83,61.63,2.92,47.19,2021,1.153,0.06700000000000002
Peter Malnati,-0.062,-0.278,-0.109,0.087,0.238,290.5,56.71,62.78,56.34,1.53,53.23,2021,-0.387,0.32499999999999996
Phil Mickelson,-0.442,-0.161,-0.142,-0.107,-0.032,301.8,54.47,62.99,52.94,3.86,47.74,2021,-0.303,-0.139
Rafa Cabrera Bello,-0.184,-0.295,-0.227,0.02,0.318,288.0,64.41,62.69,56.94,3.11,47.24,2021,-0.522,0.338
Rafael Campos,-0.883,0.21,-0.73,-0.297,-0.066,299.9,57.64,63.52,55.58,3.14,45.56,2021,-0.52,-0.363
Rhein Gibson,-1.135,-0.891,-0.722,-0.145,0.623,291.2,53.32,62.5,58.2,1.59,44.87,2021,-1.613,0.478
Richy Werenski,-0.302,-0.214,-0.183,0.027,0.068,293.9,60.9,63.82,58.04,2.11,45.45,2021,-0.397,0.095
Rickie Fowler,0.103,0.096,-0.244,0.343,-0.091,297.0,61.49,63.96,56.92,2.08,43.12,2021,-0.148,0.252
Rob Oppenheim,-0.325,-0.557,0.093,0.153,-0.014,284.2,64.6,63.81,61.0,3.56,47.96,2021,-0.4640000000000001,0.13899999999999998
Robby Shelton,-0.685,-0.385,-0.236,0.258,-0.322,293.7,55.82,61.18,58.14,3.7,52.78,2021,-0.621,-0.064
Robert Streb,-0.323,-0.232,-0.451,0.181,0.179,292.3,58.33,64.57,61.76,2.67,52.55,2021,-0.683,0.36
Roger Sloan,0.365,0.166,0.222,0.036,-0.06,295.8,61.78,68.77,60.74,3.11,55.26,2021,0.388,-0.024
Rory McIlroy,1.368,0.66,0.403,0.118,0.187,319.3,57.36,65.77,57.89,4.17,52.99,2021,1.0630000000000002,0.305
Rory Sabbatini,-0.078,-0.001,-0.198,-0.056,0.176,287.5,62.08,64.81,54.74,4.0,58.62,2021,-0.199,0.12
Russell Henley,0.952,0.071,0.831,0.024,0.025,289.8,67.07,69.44,63.85,2.55,59.29,2021,0.9019999999999999,0.049
Russell Knox,0.194,0.018,0.522,-0.086,-0.26,291.2,66.17,70.41,61.43,3.89,51.82,2021,0.54,-0.346
Ryan Armour,0.223,0.013,-0.082,-0.062,0.354,282.0,72.79,67.02,59.61,2.47,51.14,2021,-0.069,0.292
Ryan Brehm,-1.128,0.237,-0.39,-0.688,-0.287,311.5,51.85,67.72,56.38,3.89,47.89,2021,-0.15300000000000002,-0.9749999999999999
Ryan Palmer,0.506,0.242,0.246,-0.081,0.099,304.6,59.98,65.54,61.87,4.5,50.0,2021,0.488,0.018000000000000002
Sam Burns,1.248,0.257,0.458,-0.047,0.579,305.3,58.9,67.79,57.29,1.62,51.77,2021,0.7150000000000001,0.5319999999999999
Sam Ryder,-0.218,-0.019,0.129,-0.384,0.056,297.2,61.83,68.09,54.05,2.41,37.39,2021,0.11,-0.328
Satoshi Kodaira,-0.146,0.101,0.052,-0.316,0.017,286.2,69.64,65.2,60.29,3.85,46.53,2021,0.153,-0.299
Scott Brown,-0.525,-0.148,-0.02,-0.464,0.106,294.5,62.41,64.65,60.31,3.57,58.68,2021,-0.16799999999999998,-0.35800000000000004
Scott Harrington,-0.564,0.057,-0.538,0.089,-0.173,305.8,59.58,62.73,56.98,3.17,52.85,2021,-0.48100000000000004,-0.08399999999999999
Scott Piercy,-0.234,0.09,0.005,0.153,-0.482,298.2,60.0,65.61,60.94,3.01,51.79,2021,0.095,-0.32899999999999996
Scott Stallings,0.123,0.024,0.353,-0.284,0.03,297.4,59.26,68.2,62.76,3.33,46.3,2021,0.377,-0.254
Scottie Scheffler,0.932,0.515,0.145,0.249,0.023,305.0,63.49,68.08,58.79,1.23,48.0,2021,0.66,0.272
Seamus Power,1.013,0.012,0.393,0.44,0.168,295.1,62.56,68.2,65.96,4.58,50.0,2021,0.405,0.608
Sean O'Hair,-0.596,-0.109,-0.29,0.069,-0.265,298.5,62.29,67.97,62.24,2.63,50.82,2021,-0.39899999999999997,-0.196
Sebastian Cappelen,-1.507,-0.125,-0.8,-0.632,0.05,299.3,51.86,60.91,55.26,3.17,47.13,2021,-0.925,-0.582
Sebastián Muñoz,0.344,0.13,0.243,-0.076,0.047,297.5,62.96,66.67,58.82,2.69,54.3,2021,0.373,-0.028999999999999998
Sepp Straka,0.137,0.073,0.114,-0.142,0.092,303.2,57.61,66.84,57.07,3.15,48.13,2021,0.187,-0.04999999999999999
Sergio Garcia,0.736,0.796,0.279,0.071,-0.409,309.4,61.18,70.05,62.16,3.62,49.56,2021,1.0750000000000002,-0.33799999999999997
Shane Lowry,0.825,0.112,0.543,0.333,-0.162,299.6,59.91,68.35,57.74,2.78,48.0,2021,0.655,0.171
Si Woo Kim,0.469,0.223,-0.026,0.467,-0.183,296.3,62.71,65.78,62.87,3.26,46.53,2021,0.197,0.28400000000000003
Stewart Cink,0.463,-0.064,0.417,-0.054,0.164,306.6,56.42,69.44,58.18,2.78,56.9,2021,0.353,0.11000000000000001
Sung Kang,-1.52,-0.575,-0.647,-0.205,-0.094,292.7,55.5,62.02,53.4,3.07,48.37,2021,-1.222,-0.299
Sungjae Im,0.976,0.526,0.237,-0.079,0.292,297.1,69.12,69.08,61.41,2.19,51.5,2021,0.763,0.21299999999999997
Talor Gooch,0.68,-0.071,0.435,0.176,0.14,299.1,60.16,65.8,63.0,2.56,53.13,2021,0.364,0.316
"Ted Potter, Jr.",-1.16,-0.517,-0.057,-0.092,-0.495,288.4,57.08,62.5,54.47,4.22,41.24,2021,-0.5740000000000001,-0.587
Tom Hoge,0.077,-0.05,0.304,-0.07,-0.106,289.2,63.7,62.62,60.68,1.39,47.4,2021,0.254,-0.176
Tom Lewis,-0.175,0.358,-0.238,-0.169,-0.126,302.5,57.36,65.56,57.86,3.42,53.04,2021,0.12,-0.29500000000000004
Tommy Fleetwood,0.072,-0.134,0.051,0.292,-0.137,300.8,57.78,64.44,58.07,4.25,52.5,2021,-0.08300000000000002,0.15499999999999997
Tony Finau,1.13,0.281,0.461,0.298,0.09,305.5,56.29,67.1,59.47,2.89,55.3,2021,0.742,0.388
Troy Merritt,0.17,-0.207,0.025,0.07,0.282,289.9,61.95,64.63,60.9,3.05,53.33,2021,-0.182,0.352
Tyler Duncan,-0.575,0.136,0.042,-0.281,-0.472,290.0,67.52,64.26,58.2,2.69,49.19,2021,0.17800000000000002,-0.753
Tyler McCumber,-0.536,0.29,-0.076,-0.069,-0.681,309.4,58.3,64.71,56.02,3.01,44.76,2021,0.21399999999999997,-0.75
Tyrrell Hatton,1.14,0.322,0.651,0.028,0.138,299.0,63.02,63.89,60.99,1.96,58.73,2021,0.9730000000000001,0.166
Vaughn Taylor,-0.021,-0.501,0.015,0.173,0.293,278.4,67.68,64.67,62.3,3.17,55.45,2021,-0.486,0.46599999999999997
Viktor Hovland,1.316,0.656,0.648,-0.041,0.054,302.2,63.86,68.61,60.77,3.03,50.96,2021,1.304,0.012999999999999998
Vince Whaley,-0.044,0.168,-0.409,0.033,0.166,296.6,56.45,65.14,60.56,1.56,50.76,2021,-0.24099999999999996,0.199
Webb Simpson,1.253,0.071,0.393,0.353,0.435,292.5,67.08,69.37,64.95,2.5,61.68,2021,0.464,0.788
Will Gordon,-0.543,0.268,-0.142,-0.474,-0.195,315.0,55.13,67.36,50.29,4.21,48.53,2021,0.12600000000000003,-0.669
Will Zalatoris,1.118,0.319,0.751,0.114,-0.066,307.4,56.4,69.54,61.22,4.86,48.15,2021,1.07,0.048
Wyndham Clark,-0.409,-0.015,-0.64,0.29,-0.045,314.6,47.05,63.39,60.31,2.22,61.42,2021,-0.655,0.245
Xander Schauffele,1.484,0.266,0.65,0.087,0.48,307.6,58.83,68.64,59.21,1.94,64.71,2021,0.916,0.567
Xinjun Zhang,-0.825,-0.217,-0.161,-0.05,-0.397,291.7,58.54,62.34,59.0,3.21,45.19,2021,-0.378,-0.447
Zach Johnson,0.642,-0.215,0.085,0.105,0.667,289.0,62.5,66.87,58.88,2.78,58.96,2021,-0.13,0.772
Aaron Rai,0.383,0.146,0.301,0.042,-0.106,295.4,67.37,68.79,60.2,2.67,48.48,2022,0.44699999999999995,-0.064
